Price,Locality,Type_of_Property,Subtype_of_Property,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Number_of_Facades,Swimming_Pool,State_of_the_Building
154000,Grivegnee,Apartment,APARTMENT,2,85.0,0,0,0,1.0,11.0,2.0,0,GOOD
353971,Maasmechelen,Apartment,APARTMENT,3,108.0,0,0,0,1.0,10.0,2.0,0,GOOD
649000,Gentbrugge,Apartment,APARTMENT,3,129.0,1,0,0,1.0,11.0,2.0,0,AS_NEW
1125000,Duinbergen,Apartment,APARTMENT,2,75.0,0,0,0,1.0,11.0,2.0,0,AS_NEW
319500,Saint-Gilles,Apartment,GROUND_FLOOR,2,77.0,0,0,0,1.0,11.0,2.0,0,GOOD
199000,Antwerpen Hoboken,Apartment,GROUND_FLOOR,1,62.0,1,0,0,1.0,11.0,2.0,0,AS_NEW
625000,Ronse,Apartment,APARTMENT,3,161.0,0,0,0,1.0,49.0,2.0,0,GOOD
369000,Berchem,Apartment,APARTMENT,2,125.0,0,0,0,1.0,20.0,2.0,0,JUST_RENOVATED
258150,Genk,Apartment,APARTMENT,2,80.0,0,0,0,1.0,12.0,2.0,0,GOOD
435000,Brussel,Apartment,APARTMENT,2,100.0,1,0,0,1.0,18.0,2.0,0,AS_NEW
260000,Vilvoorde Koningslo,Apartment,APARTMENT,2,78.0,0,0,0,1.0,2.0,3.0,0,GOOD
295000,Gent,Apartment,APARTMENT,2,90.0,0,0,0,1.0,10.0,2.0,0,AS_NEW
369000,Berchem,Apartment,APARTMENT,3,106.0,0,0,0,1.0,11.0,2.0,0,JUST_RENOVATED
184000,Baasrode,Apartment,GROUND_FLOOR,2,80.0,0,0,0,1.0,11.0,2.0,0,GOOD
249000,De Haan,Apartment,FLAT_STUDIO,0,40.0,0,0,0,1.0,11.0,2.0,0,AS_NEW
225000,Bruxelles,Apartment,APARTMENT,1,50.0,0,0,0,1.0,15.0,2.0,0,GOOD
209000,Herentals,Apartment,GROUND_FLOOR,2,105.0,0,0,0,1.0,11.0,2.0,0,GOOD
215000,Bruxelles,Apartment,APARTMENT,1,55.0,0,0,0,1.0,2.0,2.0,0,TO_BE_DONE_UP
269000,Berchem-Sainte-Agathe,Apartment,APARTMENT,2,92.0,0,0,0,1.0,11.0,2.0,0,GOOD
