,Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
Price,1.0,-0.010113072001334555,0.018683317508272804,0.052873099571157996,-0.20504210612736232,0.3323547280627942,0.40059689044232827,,0.15665230011725767,,0.07645515302667294,0.04172242468224958,,0.020579088698383697
Locality,-0.010113072001334555,1.0,0.18294600491114757,0.0932490204580606,0.0009088688463520593,0.10548089630502192,0.07811476891270473,,-0.06433398790828931,,0.1760347742569629,0.04095825372681902,,-0.08123596672540802
Type_of_Property,0.018683317508272804,0.18294600491114757,1.0,0.7290907457172188,0.2422886612242858,0.5308625296899837,0.5878568296261352,,-0.14982076025668065,,0.7467489412660843,0.34679944929640266,,-0.775394982364484
Subtype_of_Property,0.052873099571157996,0.0932490204580606,0.7290907457172188,1.0,0.13636860518524294,0.3732085523831239,0.4555493198167708,,-0.09844010271053608,,0.5494463437011434,0.27195203908136045,,-0.6110170319604571
State_of_the_Building,-0.20504210612736232,0.0009088688463520593,0.2422886612242858,0.13636860518524294,1.0,0.11864659944520782,0.11643566193438162,,-0.11395096898393592,,0.16694824267387964,0.027183589804445775,,-0.1800873461322985
Number_of_Rooms,0.3323547280627942,0.10548089630502192,0.5308625296899837,0.3732085523831239,0.11864659944520782,1.0,0.7184909422421351,,0.03380636369017428,,0.4437248459959855,0.22646514282243332,,-0.4121907553688408
Living_Area,0.40059689044232827,0.07811476891270473,0.5878568296261352,0.4555493198167708,0.11643566193438162,0.7184909422421351,1.0,,0.017355907097808102,,0.5222640384584817,0.25128911074419236,,-0.4659245219736666
Fully_Equipped_Kitchen,,,,,,,,,,,,,,
Terrace,0.15665230011725767,-0.06433398790828931,-0.14982076025668065,-0.09844010271053608,-0.11395096898393592,0.03380636369017428,0.017355907097808102,,1.0,,-0.10363979855157883,-0.0137737736128489,,0.18541487644946295
Garden,,,,,,,,,,,,,,
Surface_area_plot_of_land,0.07645515302667294,0.1760347742569629,0.7467489412660843,0.5494463437011434,0.16694824267387964,0.4437248459959855,0.5222640384584817,,-0.10363979855157883,,1.0,0.3971403957298514,,-0.5815272249459281
Number_of_Facades,0.04172242468224958,0.04095825372681902,0.34679944929640266,0.27195203908136045,0.027183589804445775,0.22646514282243332,0.25128911074419236,,-0.0137737736128489,,0.3971403957298514,1.0,,-0.26576282588472244
Swimming_Pool,,,,,,,,,,,,,,
Lift,0.020579088698383697,-0.08123596672540802,-0.775394982364484,-0.6110170319604571,-0.1800873461322985,-0.4121907553688408,-0.4659245219736666,,0.18541487644946295,,-0.5815272249459281,-0.26576282588472244,,1.0
