Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region
685000,1180,APARTMENT,PENTHOUSE,JUST_RENOVATED,2,127.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Uccle,Brussels Capital,Bruxelles-Capital
289000,8680,APARTMENT,APARTMENT,JUST_RENOVATED,3,120.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Koekelare,Other,Other
259000,5030,HOUSE,HOUSE,GOOD,3,154.0,0,0.0,1.0,200.0,3.0,0.0,0.0,Gembloux,Namur,Wallonia
429210,9052,APARTMENT,APARTMENT,GOOD,2,100.0,1,1.0,0.0,0.0,3.0,0.0,1.0,Gent,East Flanders,Flanders
314000,1770,APARTMENT,APARTMENT,GOOD,2,96.0,1,1.0,0.0,0.0,4.0,0.0,1.0,Liedekerke,Flemish Brabant,Flanders
229000,2500,HOUSE,HOUSE,GOOD,2,105.0,0,0.0,0.0,43.0,3.0,0.0,0.0,Lier,Antwerp,Flanders
260000,9620,HOUSE,HOUSE,GOOD,3,219.0,0,0.0,0.0,375.0,3.0,0.0,0.0,Zottegem,East Flanders,Flanders
375000,1440,APARTMENT,PENTHOUSE,AS_NEW,2,124.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Braine-le-Château,Walloon Brabant,Wallonia
340000,2150,HOUSE,APARTMENT_BLOCK,TO_RENOVATE,4,270.0,0,0.0,0.0,156.0,2.0,0.0,0.0,Borsbeek,Antwerp,Flanders
345000,8200,APARTMENT,APARTMENT,GOOD,2,81.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Brugge,Other,Other
315000,9100,HOUSE,HOUSE,TO_BE_DONE_UP,4,145.0,0,0.0,0.0,401.0,4.0,0.0,0.0,Sint-Niklaas,East Flanders,Flanders
215000,2018,APARTMENT,APARTMENT,GOOD,1,53.0,1,0.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp,Flanders
560000,9000,HOUSE,HOUSE,GOOD,4,152.0,0,1.0,0.0,175.0,3.0,0.0,1.0,Gent,East Flanders,Flanders
395000,9100,APARTMENT,APARTMENT,GOOD,3,114.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Sint-Niklaas,East Flanders,Flanders
389000,1140,APARTMENT,APARTMENT,AS_NEW,2,86.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Evere,Brussels Capital,Bruxelles-Capital
342000,9230,APARTMENT,DUPLEX,AS_NEW,2,172.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Wetteren,East Flanders,Flanders
383011,9800,HOUSE,HOUSE,AS_NEW,3,148.0,0,0.0,0.0,313.0,3.0,0.0,0.0,Deinze,East Flanders,Flanders
219000,6880,APARTMENT,APARTMENT,AS_NEW,2,92.0,1,0.0,0.0,0.0,2.0,0.0,0.0,Bertrix,Luxembourg,Wallonia
117500,8500,APARTMENT,APARTMENT,TO_RENOVATE,1,85.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Kortrijk,Other,Other
