Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Fully_Equipped_Kitchen,Province,Municipality,Price_Group,Price_Group_Per_Region
685000.0,1180,APARTMENT,PENTHOUSE,JUST_RENOVATED,2.0,False,Brussel,Ukkel,550000-750000,Brussel_550000-750000
289000.0,8680,APARTMENT,APARTMENT,JUST_RENOVATED,3.0,False,West-Vlaanderen,Zande,200000-350000,West-Vlaanderen_200000-350000
775000.0,2980,HOUSE,VILLA,TO_BE_DONE_UP,4.0,False,Antwerpen,Zoersel,750000-950000,Antwerpen_750000-950000
259000.0,5030,HOUSE,HOUSE,GOOD,3.0,False,Namen,Sauvenière,200000-350000,Namen_200000-350000
230000.0,8690,HOUSE,HOUSE,TO_RENOVATE,4.0,False,West-Vlaanderen,Sint-Rijkers,200000-350000,West-Vlaanderen_200000-350000
359000.0,9300,HOUSE,HOUSE,AS_NEW,3.0,False,Oost-Vlaanderen,Aalst,350000-550000,Oost-Vlaanderen_350000-550000
260000.0,9620,HOUSE,HOUSE,GOOD,3.0,False,Oost-Vlaanderen,Zottegem,200000-350000,Oost-Vlaanderen_200000-350000
375000.0,1440,APARTMENT,PENTHOUSE,AS_NEW,2.0,False,Waals-Brabant,Wauthier-Braine,350000-550000,Waals-Brabant_350000-550000
340000.0,2150,HOUSE,APARTMENT_BLOCK,TO_RENOVATE,4.0,False,Antwerpen,Borsbeek,200000-350000,Antwerpen_200000-350000
345000.0,8200,APARTMENT,APARTMENT,GOOD,2.0,False,West-Vlaanderen,Sint-Michiels,200000-350000,West-Vlaanderen_200000-350000
315000.0,9100,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,False,Oost-Vlaanderen,Sint-niklaas,200000-350000,Oost-Vlaanderen_200000-350000
215000.0,2018,APARTMENT,APARTMENT,GOOD,1.0,True,Antwerpen,Antwerpen,200000-350000,Antwerpen_200000-350000
560000.0,9000,HOUSE,HOUSE,GOOD,4.0,False,Oost-Vlaanderen,Gent,550000-750000,Oost-Vlaanderen_550000-750000
389000.0,1140,APARTMENT,APARTMENT,AS_NEW,2.0,True,Brussel,Evere,350000-550000,Brussel_350000-550000
342000.0,9230,APARTMENT,DUPLEX,AS_NEW,2.0,True,Oost-Vlaanderen,Wetteren,200000-350000,Oost-Vlaanderen_200000-350000
383011.0,9800,HOUSE,HOUSE,AS_NEW,3.0,False,Oost-Vlaanderen,Zeveren,350000-550000,Oost-Vlaanderen_350000-550000
568000.0,4800,HOUSE,HOUSE,GOOD,4.0,False,Luik,Verviers,550000-750000,Luik_550000-750000
234900.0,03186,APARTMENT,PENTHOUSE,GOOD,2.0,False,Unknown,Unknown,200000-350000,Unknown_200000-350000
