Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift,province,Municipality
475000.0,1800,APARTMENT,LOFT,,3.0,400.0,False,,,,,,,,,,,,,Vlaams-Brabant,Vilvoorde
895000.0,2000,APARTMENT,DUPLEX,,3.0,286.0,True,,,1.0,30.0,,,,,,,,,Antwerpen,Antwerpen
685000.0,1180,APARTMENT,PENTHOUSE,JUST_RENOVATED,2.0,127.0,False,,,1.0,55.0,,,,,4.0,0.0,0.0,1.0,Brussel,Ukkel
289000.0,8680,APARTMENT,APARTMENT,JUST_RENOVATED,3.0,120.0,False,,,1.0,4.0,,,,,,,,1.0,West-Vlaanderen,Zande
,8900,HOUSE_GROUP,HOUSE_GROUP,,,,False,,,,,,,,,,,,,West-Vlaanderen,Sint-Jan
775000.0,2980,HOUSE,VILLA,TO_BE_DONE_UP,4.0,350.0,False,0.0,,1.0,,,,,3715.0,4.0,0.0,,0.0,Antwerpen,Zoersel
1495000.0,8670,APARTMENT,DUPLEX,TO_BE_DONE_UP,4.0,148.0,False,1.0,,1.0,,,,,,,,,1.0,West-Vlaanderen,Wulpen
259000.0,5030,HOUSE,HOUSE,GOOD,3.0,154.0,False,,,,,1.0,200.0,200.0,200.0,,,,,Namen,Sauvenière
230000.0,8690,HOUSE,HOUSE,TO_RENOVATE,4.0,554.0,False,,,,,1.0,1656.0,1656.0,1656.0,3.0,,0.0,0.0,West-Vlaanderen,Sint-Rijkers
1195000.0,8300,APARTMENT,DUPLEX,AS_NEW,3.0,120.0,True,,,1.0,,,,,,2.0,0.0,0.0,1.0,West-Vlaanderen,Westkapelle
429210.0,9052,APARTMENT,APARTMENT,,2.0,100.0,True,0.0,,1.0,12.0,,,,,3.0,0.0,0.0,1.0,Oost-Vlaanderen,Zwijnaarde
314000.0,1770,APARTMENT,APARTMENT,,2.0,96.0,True,,,1.0,10.0,,,,,4.0,,,1.0,Vlaams-Brabant,Liedekerke
229000.0,2500,HOUSE,HOUSE,,2.0,105.0,False,,,,,,,,43.0,,,,,Antwerpen,Lier
360000.0,6890,HOUSE,VILLA,TO_BE_DONE_UP,7.0,226.0,False,,1.0,1.0,,1.0,500.0,500.0,2066.0,4.0,,,,Luxemburg,Villance
,5000,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,,Namen,Namur
359000.0,9300,HOUSE,HOUSE,AS_NEW,3.0,122.0,False,,,1.0,30.0,1.0,1700.0,1700.0,3395.0,2.0,0.0,0.0,0.0,Oost-Vlaanderen,Aalst
260000.0,9620,HOUSE,HOUSE,GOOD,3.0,219.0,False,0.0,,,,,,,375.0,,,,,Oost-Vlaanderen,Zottegem
375000.0,1440,APARTMENT,PENTHOUSE,AS_NEW,2.0,124.0,False,0.0,,1.0,30.0,,,,,2.0,0.0,0.0,1.0,Waals-Brabant,Wauthier-Braine
340000.0,2150,HOUSE,APARTMENT_BLOCK,TO_RENOVATE,4.0,270.0,False,,,,,,,,156.0,2.0,,,,Antwerpen,Borsbeek
345000.0,8200,APARTMENT,APARTMENT,GOOD,2.0,81.0,False,,,,,,,,,,,0.0,0.0,West-Vlaanderen,Sint-Michiels
315000.0,9100,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,145.0,False,,,,,,,,401.0,4.0,,0.0,0.0,Oost-Vlaanderen,Sint-niklaas
215000.0,2018,APARTMENT,APARTMENT,GOOD,1.0,53.0,True,0.0,,,,,,,,2.0,,,0.0,Antwerpen,Antwerpen
560000.0,9000,HOUSE,HOUSE,GOOD,4.0,152.0,False,0.0,,1.0,23.0,,,,175.0,,,,1.0,Oost-Vlaanderen,Gent
395000.0,9100,APARTMENT,APARTMENT,,3.0,114.0,False,,,1.0,9.0,,,,,2.0,,,1.0,Oost-Vlaanderen,Sint-niklaas
125000.0,1000,APARTMENT,KOT,,0.0,20.0,False,0.0,,,,,,,,2.0,0.0,0.0,1.0,Brussel,Brussel
389000.0,1140,APARTMENT,APARTMENT,AS_NEW,2.0,86.0,True,1.0,,1.0,8.0,,,,,2.0,0.0,1.0,1.0,Brussel,Evere
342000.0,9230,APARTMENT,DUPLEX,AS_NEW,2.0,172.0,True,0.0,,1.0,11.0,,,,,2.0,0.0,0.0,0.0,Oost-Vlaanderen,Wetteren
383011.0,9800,HOUSE,HOUSE,AS_NEW,3.0,148.0,False,0.0,,,,,,,313.0,3.0,0.0,0.0,0.0,Oost-Vlaanderen,Zeveren
568000.0,4800,HOUSE,HOUSE,GOOD,4.0,197.0,False,0.0,,1.0,107.0,1.0,6433.0,6433.0,6630.0,4.0,0.0,,,Luik,Verviers
234900.0,03186,APARTMENT,PENTHOUSE,GOOD,2.0,178.0,False,,,1.0,,,,,,,,0.0,0.0,Unknown,Unknown
149000.0,4500,HOUSE,HOUSE,GOOD,2.0,,False,,,,,,,,90.0,2.0,,,,Luik,Tihange
219000.0,6880,APARTMENT,APARTMENT,AS_NEW,2.0,92.0,True,0.0,,,,,,,,,0.0,0.0,0.0,Luxemburg,Orgeo
117500.0,8500,APARTMENT,APARTMENT,TO_RENOVATE,1.0,85.0,False,0.0,,,,,,,,,,,,West-Vlaanderen,Kortrijk
239000.0,4190,HOUSE,HOUSE,GOOD,3.0,177.0,False,0.0,,1.0,,1.0,1453.0,1453.0,1642.0,2.0,0.0,,0.0,Luik,Xhoris
525000.0,9000,HOUSE,MIXED_USE_BUILDING,AS_NEW,4.0,198.0,False,0.0,,1.0,,,,,79.0,2.0,0.0,0.0,0.0,Oost-Vlaanderen,Gent
4195000.0,8300,HOUSE,HOUSE,TO_RENOVATE,8.0,395.0,False,,,,,,,,700.0,,,,,West-Vlaanderen,Westkapelle
475000.0,1315,HOUSE,VILLA,GOOD,3.0,142.0,False,0.0,,1.0,39.0,1.0,1504.0,1504.0,1623.0,4.0,1.0,1.0,0.0,Waals-Brabant,Roux-Miroir
260000.0,1140,APARTMENT,APARTMENT,,1.0,56.0,True,1.0,,,,,,,,2.0,0.0,1.0,1.0,Brussel,Evere
350000.0,9940,APARTMENT,APARTMENT,AS_NEW,2.0,94.0,False,,,1.0,13.0,,,,,,,0.0,1.0,Oost-Vlaanderen,Sleidinge
219000.0,5000,APARTMENT,APARTMENT,GOOD,2.0,75.0,False,,,1.0,5.0,,,,,,,,1.0,Namen,Namur
655000.0,1150,APARTMENT,APARTMENT,GOOD,3.0,170.0,True,0.0,,1.0,22.0,,,,,2.0,0.0,0.0,1.0,Brussel,Sint-pieters-woluwe
1240000.0,9840,HOUSE,HOUSE,AS_NEW,4.0,280.0,True,0.0,,1.0,80.0,,,,940.0,4.0,0.0,0.0,0.0,Oost-Vlaanderen,Zevergem
325000.0,3800,HOUSE,HOUSE,TO_BE_DONE_UP,3.0,,False,,,,,,,,0.0,,,,,Limburg,Zepperen
498000.0,7540,HOUSE,HOUSE,AS_NEW,7.0,236.0,True,,,1.0,27.0,1.0,700.0,700.0,997.0,4.0,,,,Henegouwen,Rumillies
449000.0,8550,HOUSE,VILLA,GOOD,3.0,368.0,False,0.0,,1.0,,,,,1843.0,4.0,0.0,,0.0,West-Vlaanderen,Zwevegem
395000.0,5590,HOUSE,HOUSE,,5.0,229.0,False,,1.0,1.0,,1.0,1525.0,1525.0,1525.0,4.0,,,,Namen,Sovet
879500.0,3221,HOUSE,HOUSE,,4.0,407.0,True,,,1.0,,,,,4200.0,4.0,,,,Vlaams-Brabant,Nieuwrode
400000.0,1180,APARTMENT,APARTMENT,AS_NEW,3.0,130.0,True,0.0,,1.0,,,,,,2.0,,,1.0,Brussel,Ukkel
295000.0,8000,HOUSE,HOUSE,GOOD,2.0,90.0,False,0.0,,1.0,13.0,,,,55.0,,,0.0,,West-Vlaanderen,Koolkerke
415000.0,9090,APARTMENT,APARTMENT,JUST_RENOVATED,4.0,181.0,False,,,1.0,50.0,,,,,3.0,,,1.0,Oost-Vlaanderen,Melle
335000.0,1000,APARTMENT,FLAT_STUDIO,JUST_RENOVATED,0.0,58.0,False,0.0,,,,,,,,2.0,0.0,0.0,1.0,Brussel,Brussel
222000.0,8400,APARTMENT,APARTMENT,GOOD,2.0,71.0,False,0.0,,1.0,7.0,,,,,,,,,West-Vlaanderen,Zandvoorde
199000.0,5500,APARTMENT,APARTMENT,GOOD,2.0,90.0,False,1.0,,1.0,5.0,,,,,,0.0,1.0,1.0,Namen,Furfooz
329000.0,2640,APARTMENT,APARTMENT,AS_NEW,2.0,100.0,False,,,1.0,25.0,,,,,,,,,Antwerpen,Mortsel
315000.0,9600,HOUSE,HOUSE,GOOD,3.0,195.0,False,,,1.0,20.0,1.0,320.0,320.0,393.0,,,,,Oost-Vlaanderen,Ronse
100000.0,6041,HOUSE,HOUSE,,3.0,91.0,False,,,1.0,,,,,65.0,2.0,,,,Henegouwen,Gosselies
399000.0,8720,HOUSE,HOUSE,GOOD,3.0,128.0,False,0.0,,1.0,,,,,1035.0,,,,,West-Vlaanderen,Wakken
399000.0,1070,HOUSE,HOUSE,JUST_RENOVATED,5.0,,False,,,1.0,15.0,,,,0.0,2.0,0.0,0.0,0.0,Brussel,Anderlecht
610000.0,1330,APARTMENT,APARTMENT,AS_NEW,3.0,131.0,False,0.0,,1.0,13.0,,,,,3.0,0.0,1.0,1.0,Waals-Brabant,Rixensart
335000.0,9900,APARTMENT,APARTMENT,GOOD,2.0,94.0,False,0.0,,,,,,,,,,,1.0,Oost-Vlaanderen,Eeklo
536500.0,9800,HOUSE,VILLA,AS_NEW,3.0,192.0,True,0.0,,1.0,,,,,432.0,4.0,0.0,0.0,0.0,Oost-Vlaanderen,Zeveren
139000.0,8400,APARTMENT,APARTMENT,GOOD,1.0,61.0,False,0.0,,1.0,,,,,,,,,1.0,West-Vlaanderen,Zandvoorde
175000.0,1080,APARTMENT,APARTMENT,GOOD,1.0,71.0,False,0.0,,1.0,,,,,,2.0,,0.0,1.0,Brussel,Sint-jans-molenbeek
126000.0,2060,APARTMENT,FLAT_STUDIO,GOOD,1.0,44.0,False,,,,,,,,,2.0,,,1.0,Antwerpen,Antwerpen
