Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
685000,1180,0,8,2,2,127.0,0,1.0,0.0,0.0,4.0,0.0,1.0
289000,8680,0,0,2,3,120.0,0,1.0,0.0,0.0,2.0,0.0,1.0
229000,2500,1,2,1,2,105.0,0,0.0,0.0,43.0,3.0,0.0,0.0
260000,9620,1,2,1,3,219.0,0,0.0,0.0,375.0,3.0,0.0,0.0
375000,1440,0,8,0,2,124.0,0,1.0,0.0,0.0,2.0,0.0,1.0
340000,2150,1,1,4,4,270.0,0,0.0,0.0,156.0,2.0,0.0,0.0
345000,8200,0,0,1,2,81.0,0,0.0,0.0,0.0,2.0,0.0,0.0
315000,9100,1,2,3,4,145.0,0,0.0,0.0,401.0,4.0,0.0,0.0
560000,9000,1,2,1,4,152.0,0,1.0,0.0,175.0,3.0,0.0,1.0
395000,9100,0,0,1,3,114.0,0,1.0,0.0,0.0,2.0,0.0,1.0
383011,9800,1,2,0,3,148.0,0,0.0,0.0,313.0,3.0,0.0,0.0
117500,8500,0,0,4,1,85.0,0,0.0,0.0,0.0,2.0,0.0,1.0
525000,9000,1,6,0,4,198.0,0,1.0,0.0,79.0,2.0,0.0,0.0
350000,9940,0,0,0,2,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0
219000,5000,0,0,1,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0
295000,8000,1,2,1,2,90.0,0,1.0,0.0,55.0,3.0,0.0,0.0
415000,9090,0,0,2,4,181.0,0,1.0,0.0,0.0,3.0,0.0,1.0
222000,8400,0,0,1,2,71.0,0,1.0,0.0,0.0,2.0,0.0,1.0
199000,5500,0,0,1,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0
329000,2640,0,0,0,2,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0
100000,6041,1,2,4,3,91.0,0,1.0,0.0,65.0,2.0,0.0,0.0
610000,1330,0,0,0,3,131.0,0,1.0,0.0,0.0,3.0,0.0,1.0
335000,9900,0,0,1,2,94.0,0,0.0,0.0,0.0,2.0,0.0,1.0
139000,8400,0,0,1,1,61.0,0,1.0,0.0,0.0,2.0,0.0,1.0
175000,1080,0,0,1,1,71.0,0,1.0,0.0,0.0,2.0,0.0,1.0
126000,2060,0,19,1,1,44.0,0,0.0,0.0,0.0,2.0,0.0,1.0
295000,2000,0,0,1,1,68.0,0,0.0,0.0,0.0,2.0,0.0,1.0
360000,9880,0,0,3,2,145.0,0,1.0,0.0,0.0,2.0,0.0,1.0
270000,5024,0,0,1,3,105.0,0,0.0,0.0,0.0,2.0,0.0,0.0
309000,8200,0,0,0,1,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0
280000,1150,0,0,3,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0
598000,8301,1,2,2,3,146.0,0,1.0,0.0,170.0,3.0,0.0,0.0
180000,1070,0,0,0,2,80.0,0,1.0,0.0,0.0,2.0,0.0,1.0
375000,1200,0,16,3,3,114.0,0,1.0,0.0,0.0,2.0,0.0,0.0
739000,8300,0,0,0,3,90.0,0,1.0,0.0,0.0,2.0,0.0,0.0
290000,7800,0,0,1,2,81.0,0,0.0,0.0,0.0,2.0,0.0,1.0
319000,4420,0,16,1,4,145.0,0,0.0,0.0,0.0,3.0,0.0,0.0
154000,2100,0,0,0,2,70.0,0,1.0,0.0,0.0,2.0,0.0,1.0
219000,2000,0,0,3,1,66.0,0,0.0,0.0,0.0,2.0,0.0,1.0
156000,3700,0,0,1,2,84.0,0,1.0,0.0,0.0,2.0,0.0,1.0
265000,8530,1,2,1,2,138.0,0,0.0,0.0,0.0,3.0,0.0,0.0
162000,8400,0,0,1,2,90.0,0,0.0,0.0,0.0,2.0,0.0,1.0
239000,8380,0,0,1,2,60.0,0,1.0,0.0,0.0,2.0,0.0,1.0
350000,9050,1,2,4,3,200.0,0,0.0,0.0,89.0,2.0,0.0,0.0
119000,6800,1,2,4,3,91.0,0,1.0,0.0,0.0,3.0,0.0,0.0
337000,9800,1,2,0,3,138.0,0,0.0,0.0,238.0,3.0,0.0,0.0
290000,1030,0,0,1,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0
299500,8301,0,0,1,2,80.0,0,0.0,0.0,0.0,2.0,0.0,0.0
215000,9500,1,2,3,4,183.0,0,1.0,0.0,410.0,2.0,0.0,0.0
255000,4020,0,20,1,3,107.0,0,0.0,0.0,0.0,2.0,0.0,0.0
325000,1300,0,0,1,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0
279000,2880,1,2,4,4,233.0,0,1.0,0.0,477.0,3.0,0.0,0.0
275000,1420,0,0,0,2,80.0,0,0.0,0.0,0.0,2.0,0.0,0.0
284000,2020,1,10,1,2,112.0,0,0.0,0.0,0.0,2.0,0.0,0.0
289000,1040,0,0,1,1,79.0,0,0.0,0.0,0.0,2.0,0.0,0.0
279000,3270,0,0,1,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0
379000,3020,1,2,1,4,118.0,0,1.0,0.0,188.0,3.0,0.0,0.0
465000,8310,1,10,0,3,208.0,0,1.0,0.0,360.0,3.0,0.0,0.0
399000,9000,0,0,0,2,106.0,0,1.0,0.0,0.0,2.0,0.0,1.0
164900,7134,1,2,1,4,130.0,0,0.0,0.0,181.0,2.0,0.0,0.0
189000,1080,0,0,1,2,75.0,0,0.0,0.0,0.0,2.0,0.0,0.0
349000,1410,0,0,0,3,122.0,0,1.0,0.0,0.0,4.0,0.0,1.0
109000,4020,0,19,1,1,39.0,0,0.0,0.0,0.0,2.0,0.0,1.0
325000,2820,0,0,1,1,79.0,0,1.0,0.0,0.0,2.0,0.0,1.0
250000,8000,1,2,3,4,129.0,0,0.0,0.0,156.0,3.0,0.0,0.0
249000,8000,0,0,0,2,73.0,0,0.0,0.0,0.0,3.0,0.0,1.0
219000,4020,0,0,0,2,87.0,0,1.0,0.0,0.0,2.0,0.0,0.0
310000,7534,1,2,1,3,183.0,0,1.0,0.0,0.0,4.0,0.0,0.0
259000,1800,0,0,1,2,62.0,0,1.0,0.0,0.0,2.0,0.0,1.0
332800,2640,0,0,1,2,95.0,0,1.0,0.0,0.0,3.0,0.0,1.0
292000,2350,0,20,1,1,72.0,0,1.0,0.0,0.0,3.0,0.0,1.0
775000,8670,0,8,1,4,161.0,0,1.0,0.0,0.0,2.0,0.0,1.0
685000,3010,1,2,0,3,215.0,0,1.0,0.0,390.0,2.0,0.0,0.0
295000,1180,0,0,1,1,89.0,0,1.0,0.0,0.0,2.0,0.0,1.0
189000,5300,0,0,1,1,70.0,0,0.0,0.0,0.0,4.0,0.0,1.0
199000,8530,1,2,0,3,120.0,0,1.0,0.0,50.0,2.0,0.0,0.0
299000,2830,1,2,1,3,165.0,0,0.0,0.0,307.0,2.0,0.0,0.0
549000,2800,1,2,1,4,181.0,0,0.0,0.0,143.0,2.0,0.0,0.0
499000,2000,0,0,1,2,137.0,0,1.0,0.0,0.0,2.0,0.0,1.0
199900,3300,0,0,1,1,52.0,0,1.0,0.0,0.0,2.0,0.0,1.0
198000,8900,0,0,1,1,62.0,0,1.0,0.0,0.0,2.0,0.0,1.0
479000,9140,1,13,0,4,172.0,0,1.0,0.0,283.0,4.0,0.0,0.0
795000,8301,0,0,4,4,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0
394500,9000,0,0,1,2,116.0,0,1.0,0.0,0.0,2.0,0.0,1.0
414700,8830,1,2,1,4,223.0,0,1.0,0.0,261.0,3.0,0.0,0.0
445000,1200,0,0,0,3,120.0,0,1.0,0.0,0.0,2.0,0.0,1.0
99000,8680,1,2,3,1,94.0,0,0.0,0.0,63.0,2.0,0.0,0.0
194900,2600,0,0,1,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0
695000,2550,0,0,1,4,240.0,0,1.0,0.0,0.0,2.0,0.0,1.0
399000,2360,1,2,1,4,160.0,0,1.0,0.0,405.0,3.0,0.0,0.0
230000,3300,0,8,4,4,131.0,0,1.0,0.0,0.0,2.0,0.0,0.0
169000,2100,0,0,3,2,89.0,0,0.0,0.0,0.0,2.0,0.0,1.0
152000,1090,0,0,3,1,45.0,0,1.0,0.0,0.0,2.0,0.0,1.0
364000,9800,0,0,1,2,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0
75000,6030,1,2,1,2,75.0,0,1.0,0.0,120.0,2.0,0.0,0.0
355000,6210,1,2,1,4,123.0,0,1.0,0.0,209.0,3.0,0.0,0.0
315000,1081,0,0,3,2,95.0,0,0.0,0.0,0.0,2.0,0.0,1.0
155000,6900,0,0,0,1,63.0,0,0.0,0.0,0.0,2.0,0.0,0.0
299000,8020,0,0,1,3,104.0,0,1.0,0.0,0.0,2.0,0.0,1.0
315000,1300,0,0,1,1,81.0,0,1.0,0.0,0.0,2.0,0.0,1.0
189000,4130,0,0,3,2,99.0,0,1.0,0.0,0.0,3.0,0.0,1.0
168000,8500,0,19,3,1,45.0,0,1.0,0.0,0.0,2.0,0.0,1.0
79500,9600,1,6,1,1,28.0,0,0.0,0.0,28.0,2.0,0.0,0.0
425000,9000,0,0,1,3,127.0,0,1.0,0.0,0.0,2.0,0.0,1.0
249000,8434,0,0,2,1,68.0,0,1.0,0.0,0.0,2.0,0.0,1.0
535000,8301,1,5,0,4,210.0,0,0.0,0.0,72.0,4.0,0.0,0.0
180000,6280,1,2,1,3,154.0,0,0.0,0.0,277.0,3.0,0.0,0.0
390000,9040,0,0,1,4,210.0,0,1.0,0.0,0.0,2.0,0.0,1.0
360000,9500,1,2,1,4,170.0,0,0.0,0.0,305.0,2.0,0.0,0.0
379000,9000,1,1,3,3,138.0,0,1.0,0.0,78.0,2.0,0.0,0.0
259000,9000,0,0,1,1,46.0,0,0.0,0.0,0.0,2.0,0.0,1.0
315000,1850,1,2,1,2,163.0,0,0.0,0.0,195.0,3.0,0.0,0.0
240000,6700,0,0,1,2,75.0,0,0.0,0.0,0.0,2.0,0.0,0.0
470000,8420,1,2,1,3,166.0,0,0.0,0.0,459.0,4.0,0.0,0.0
249000,2235,1,2,4,3,151.0,0,1.0,0.0,0.0,3.0,0.0,0.0
269000,2640,1,6,1,3,178.0,0,0.0,0.0,62.0,2.0,0.0,0.0
465000,1050,0,8,2,1,92.0,0,1.0,0.0,0.0,2.0,0.0,0.0
199000,4000,0,0,1,1,72.0,0,0.0,0.0,0.0,2.0,0.0,0.0
369000,9570,1,2,1,3,170.0,0,0.0,0.0,332.0,3.0,0.0,0.0
369000,2640,0,0,1,3,130.0,0,1.0,0.0,0.0,2.0,0.0,1.0
398000,9000,0,0,0,1,74.0,0,1.0,0.0,0.0,2.0,0.0,1.0
249900,2610,0,0,1,2,95.0,0,1.0,0.0,0.0,2.0,0.0,0.0
328000,1070,0,16,0,2,113.0,0,1.0,0.0,0.0,2.0,0.0,0.0
256000,8760,0,0,1,2,139.0,0,0.0,0.0,0.0,2.0,0.0,1.0
315000,9420,1,2,4,2,170.0,0,1.0,0.0,458.0,4.0,0.0,0.0
230000,1040,0,0,3,1,68.0,0,0.0,0.0,0.0,2.0,0.0,0.0
155000,8020,1,2,4,2,112.0,0,1.0,0.0,293.0,3.0,0.0,0.0
215000,7850,0,0,1,2,79.0,0,1.0,0.0,0.0,3.0,0.0,0.0
239000,8660,0,0,1,1,66.0,0,1.0,0.0,0.0,2.0,0.0,1.0
169000,1070,0,0,3,1,52.0,0,0.0,0.0,0.0,2.0,0.0,0.0
379647,2850,1,2,1,3,137.0,0,0.0,0.0,160.0,3.0,0.0,0.0
215000,9620,1,2,4,4,152.0,0,0.0,0.0,501.0,3.0,0.0,0.0
219000,2018,0,0,1,1,55.0,0,0.0,0.0,0.0,2.0,0.0,1.0
219000,1140,0,8,1,1,50.0,0,1.0,0.0,0.0,3.0,0.0,1.0
495000,9240,1,6,2,3,257.0,0,1.0,0.0,91.0,1.0,0.0,0.0
285000,8400,0,9,0,1,55.0,0,0.0,0.0,0.0,4.0,0.0,1.0
199000,8660,0,9,0,1,56.0,0,1.0,0.0,0.0,2.0,0.0,1.0
180000,8540,1,2,4,4,282.0,0,0.0,0.0,187.0,3.0,0.0,0.0
420000,1000,0,0,1,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0
329000,8800,1,2,1,3,172.0,0,1.0,0.0,315.0,3.0,0.0,0.0
320000,1853,0,0,0,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0
215000,1000,0,0,1,2,55.0,0,0.0,0.0,0.0,3.0,0.0,1.0
215000,4000,0,0,1,2,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0
315000,2600,0,0,1,3,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0
265000,2500,0,0,1,2,100.0,0,0.0,0.0,0.0,2.0,0.0,1.0
135000,6760,1,2,4,3,120.0,0,1.0,0.0,480.0,2.0,0.0,0.0
265000,9600,0,0,1,2,95.0,0,1.0,0.0,0.0,2.0,0.0,1.0
495000,8400,0,0,1,3,150.0,0,1.0,0.0,0.0,2.0,0.0,1.0
250000,3840,1,2,1,3,179.0,0,1.0,0.0,134.0,2.0,0.0,0.0
335000,8430,0,16,1,2,115.0,0,1.0,0.0,0.0,3.0,0.0,1.0
299000,9470,0,0,0,3,120.0,0,0.0,0.0,0.0,2.0,0.0,1.0
219000,2140,0,0,1,2,92.0,0,1.0,0.0,0.0,3.0,0.0,1.0
829000,8620,0,0,1,3,124.0,0,1.0,0.0,0.0,2.0,0.0,1.0
170000,4430,1,2,1,3,110.0,0,0.0,0.0,219.0,4.0,0.0,0.0
385500,9940,0,0,0,3,145.0,0,1.0,0.0,0.0,2.0,0.0,1.0
289000,2650,0,0,2,1,64.0,0,0.0,0.0,0.0,2.0,0.0,1.0
139000,9500,1,2,1,3,92.0,0,0.0,0.0,38.0,2.0,0.0,0.0
239000,3980,1,2,1,3,119.0,0,1.0,0.0,357.0,3.0,0.0,0.0
135000,9600,0,0,1,2,79.0,0,1.0,0.0,0.0,2.0,0.0,1.0
169000,4100,0,0,1,2,83.0,0,0.0,0.0,0.0,2.0,0.0,1.0
195000,9700,0,0,1,2,121.0,0,1.0,0.0,0.0,2.0,0.0,1.0
399000,8000,1,2,0,3,184.0,0,1.0,0.0,117.0,4.0,0.0,0.0
365000,8950,1,2,0,3,150.0,0,0.0,0.0,286.0,3.0,0.0,0.0
168000,2000,0,19,1,1,39.0,0,0.0,0.0,0.0,2.0,0.0,1.0
179000,2170,0,0,2,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0
145000,4020,0,0,4,2,81.0,0,0.0,0.0,0.0,3.0,0.0,1.0
174000,1755,0,4,1,1,101.0,0,0.0,0.0,0.0,2.0,0.0,1.0
